id_config,operador,populacao,geracoes,taxa_crossover,taxa_mutacao,melhor_resultado,pior_resultado,media,mediana,desvio_padrao
7,OX,50,100,0.9,0.05,291,339,308.8,305.0,18.72490913788962
14,PMX,100,100,0.8,0.05,291,347,310.8,306.0,22.2999750871809
16,PMX,100,100,0.9,0.05,291,333,310.8,311.0,18.772320048411704
8,PMX,50,100,0.9,0.05,291,339,314.3,314.0,16.786568705035847
15,OX,100,100,0.9,0.05,291,375,317.3,307.0,27.628688793434343
11,OX,100,100,0.9,0.01,291,359,320.6,322.0,22.741054407295092
13,OX,100,100,0.8,0.05,291,356,321.7,323.0,23.579887851962127
9,OX,100,100,0.8,0.01,295,376,323.2,324.0,27.198039145007005
6,PMX,50,100,0.8,0.05,295,369,325.6,325.0,22.091727964205162
3,OX,50,100,0.9,0.01,291,364,330.9,330.0,19.963577946962424
5,OX,50,100,0.8,0.05,291,369,332.3,329.0,22.920393636332786
10,PMX,100,100,0.8,0.01,291,388,340.5,352.0,32.63008155402346
1,OX,50,100,0.8,0.01,315,396,342.3,331.5,25.386129195991174
12,PMX,100,100,0.9,0.01,299,438,352.5,351.0,43.607466231267225
4,PMX,50,100,0.9,0.01,330,411,368,363.5,26.272080660317375
2,PMX,50,100,0.8,0.01,338,436,369.6,360.5,29.904291776711027
