id_config,operador,populacao,geracoes,taxa_crossover,taxa_mutacao,melhor_resultado,pior_resultado,media,mediana,desvio_padrao
1,OX,50,300,0.8,0.01,47538,54048,50425.1,50266.5,1974.9622471778487
2,PMX,50,300,0.8,0.01,84147,96473,90798.5,91949.0,3661.3263610640097
3,OX,50,300,0.9,0.01,44354,54488,47994.3,47479.5,2898.786721294886
4,PMX,50,300,0.9,0.01,84554,98552,93567.3,95048.5,5253.343486665315
5,OX,50,300,0.8,0.05,48863,53665,50354.4,50032.0,1464.6196472501354
6,PMX,50,300,0.8,0.05,64289,71896,67291.7,66793.5,2048.486544310756
7,OX,50,300,0.9,0.05,43559,52244,48212.2,48813.5,2644.653760156726
8,PMX,50,300,0.9,0.05,58454,69644,65681.4,66275.0,3159.9221931349302
9,OX,100,300,0.8,0.01,41838,47118,43429.2,43345.5,1576.82513650408
10,PMX,100,300,0.8,0.01,72340,88952,79729.6,78911.5,5181.692713561639
11,OX,100,300,0.9,0.01,37558,49962,42206.9,42511.0,3393.9589289075248
12,PMX,100,300,0.9,0.01,75673,83892,78491,77206.5,3161.1824791787435
13,OX,100,300,0.8,0.05,40609,50979,43458.2,42241.0,3140.8468709357144
14,PMX,100,300,0.8,0.05,54489,60666,56224.8,55118.5,2127.09190106012
15,OX,100,300,0.9,0.05,39086,47127,41695.8,41082.5,2190.1852686727466
16,PMX,100,300,0.9,0.05,51054,58098,55192.5,55379.5,1937.72571445095
